gym_id,team_position,pokemon_id,pokemon_name,level,move_1,move_2,move_3,move_4,ability,source,source_url
1,1,74,Geodude,70,Rock Throw,Earthquake,Body Slam,Harden,,"Canonical Pokémon Red/Blue Gym Leader roster (organizer-added; not in original upload), movesets chosen from supplied pokemon_moves.csv",https://bulbapedia.bulbagarden.net/wiki/Gym_Leader
1,2,95,Onix,70,Rock Throw,Earthquake,Body Slam,Screech,,"Canonical Pokémon Red/Blue Gym Leader roster (organizer-added; not in original upload), movesets chosen from supplied pokemon_moves.csv",https://bulbapedia.bulbagarden.net/wiki/Gym_Leader
2,1,120,Staryu,70,Bubblebeam,Water Gun,Recover,Swift,,"Canonical Pokémon Red/Blue Gym Leader roster (organizer-added; not in original upload), movesets chosen from supplied pokemon_moves.csv",https://bulbapedia.bulbagarden.net/wiki/Gym_Leader
2,2,121,Starmie,70,Surf,Psychic,Thunderbolt,Ice Beam,,"Canonical Pokémon Red/Blue Gym Leader roster (organizer-added; not in original upload), movesets chosen from supplied pokemon_moves.csv",https://bulbapedia.bulbagarden.net/wiki/Gym_Leader
3,1,100,Voltorb,70,Thunderbolt,Sonicboom,Screech,Swift,,"Canonical Pokémon Red/Blue Gym Leader roster (organizer-added; not in original upload), movesets chosen from supplied pokemon_moves.csv",https://bulbapedia.bulbagarden.net/wiki/Gym_Leader
3,2,25,Pikachu,70,Thunderbolt,Quick Attack,Agility,Double-edge,,"Canonical Pokémon Red/Blue Gym Leader roster (organizer-added; not in original upload), movesets chosen from supplied pokemon_moves.csv",https://bulbapedia.bulbagarden.net/wiki/Gym_Leader
3,3,26,Raichu,70,Thunderbolt,Body Slam,Double-edge,Seismic Toss,,"Canonical Pokémon Red/Blue Gym Leader roster (organizer-added; not in original upload), movesets chosen from supplied pokemon_moves.csv",https://bulbapedia.bulbagarden.net/wiki/Gym_Leader
4,1,71,Victreebel,70,Razor Leaf,Acid,Sleep Powder,Mega Drain,,"Canonical Pokémon Red/Blue Gym Leader roster (organizer-added; not in original upload), movesets chosen from supplied pokemon_moves.csv",https://bulbapedia.bulbagarden.net/wiki/Gym_Leader
4,2,114,Tangela,70,Mega Drain,Growth,Sleep Powder,Stun Spore,,"Canonical Pokémon Red/Blue Gym Leader roster (organizer-added; not in original upload), movesets chosen from supplied pokemon_moves.csv",https://bulbapedia.bulbagarden.net/wiki/Gym_Leader
4,3,45,Vileplume,70,Stun Spore,Acid,Sleep Powder,Mega Drain,,"Canonical Pokémon Red/Blue Gym Leader roster (organizer-added; not in original upload), movesets chosen from supplied pokemon_moves.csv",https://bulbapedia.bulbagarden.net/wiki/Gym_Leader
5,1,109,Koffing,70,Sludge,Smog,Smokescreen,Explosion,,"Canonical Pokémon Red/Blue Gym Leader roster (organizer-added; not in original upload), movesets chosen from supplied pokemon_moves.csv",https://bulbapedia.bulbagarden.net/wiki/Gym_Leader
5,2,89,Muk,70,Sludge,Body Slam,Acid Armor,Minimize,,"Canonical Pokémon Red/Blue Gym Leader roster (organizer-added; not in original upload), movesets chosen from supplied pokemon_moves.csv",https://bulbapedia.bulbagarden.net/wiki/Gym_Leader
5,3,110,Weezing,70,Sludge,Smog,Fire Blast,Explosion,,"Canonical Pokémon Red/Blue Gym Leader roster (organizer-added; not in original upload), movesets chosen from supplied pokemon_moves.csv",https://bulbapedia.bulbagarden.net/wiki/Gym_Leader
6,1,64,Kadabra,70,Psychic,Psybeam,Recover,Reflect,,"Canonical Pokémon Red/Blue Gym Leader roster (organizer-added; not in original upload), movesets chosen from supplied pokemon_moves.csv",https://bulbapedia.bulbagarden.net/wiki/Gym_Leader
