move_name,kind,status,chance,stat,delta,target,note
Absorb,none,,,,,,
Acid,stat_change,,10,def,-1,target,
Acid Armor,stat_change,,100,def,2,user,
Agility,stat_change,,100,spe,2,user,
Amnesia,stat_change,,100,spc,2,user,
Aurora Beam,stat_change,,10,atk,-1,target,
Barrage,none,,,,,,
Barrier,stat_change,,100,def,2,user,
Bide,unmodeled,,,,,,2-3 turn damage-absorb-and-return; not simulated in v1
Bind,unmodeled,,,,,,2-5 turn trap; simplified to a single-hit attack in v1
Bite,flinch,,10,,,,
Blizzard,status,freeze,10,,,,
Body Slam,status,paralyze,30,,,,
Bone Club,flinch,,10,,,,
Bonemerang,fixed_multi_hit,,,,2,,
Bubble,stat_change,,10,spe,-1,target,
Bubblebeam,stat_change,,10,spe,-1,target,
Clamp,unmodeled,,,,,,2-5 turn trap; simplified to a single-hit attack in v1
Comet Punch,none,,,,,,
Confuse Ray,status,confuse,100,,,,
Confusion,status,confuse,10,,,,
Constrict,stat_change,,10,spe,-1,target,
Conversion,unmodeled,,,,,,changes user's type; not simulated in v1
Counter,unmodeled,,,,,,reflects physical damage; not simulated in v1
Crabhammer,none,,,,,,
Cut,none,,,,,,
Defense Curl,stat_change,,100,def,1,user,
Dig,none,,,,,,
Disable,unmodeled,,,,,,disables a random opponent move; not simulated in v1
Dizzy Punch,none,,,,,,
Double Kick,fixed_multi_hit,,,,2,,
Double Team,stat_change,,100,eva,1,user,
Double-edge,none,,,,,,
Doubleslap,multi_hit_2to5,,,,,,
Dragon Rage,none,,,,,,fixed 40 damage; handled via damage_model in engine
Dream Eater,none,,,,,,
Drill Peck,none,,,,,,
Earthquake,none,,,,,,
Egg Bomb,none,,,,,,
Ember,status,burn,10,,,,
Explosion,explosion,,,,,,
Fire Blast,status,burn,30,,,,
Fire Punch,status,burn,10,,,,
Fire Spin,unmodeled,,,,,,2-5 turn trap; simplified to a single-hit attack in v1
Fissure,none,,,,,,
Flamethrower,status,burn,10,,,,
Flash,stat_change,,100,acc,-1,target,
Fly,none,,,,,,
Focus Energy,unmodeled,,,,,,Gen I bug inverts intended crit-rate effect; not simulated in v1
Fury Attack,none,,,,,,
Fury Swipes,none,,,,,,
Glare,status,paralyze,100,,,,
Growl,stat_change,,100,atk,-1,target,
Growth,stat_change,,100,spc,1,user,
Guillotine,none,,,,,,
