pokemon_id,name,pokedex_number,generation,level,type_1,type_2,base_hp,base_attack,base_defense,base_sp_attack,base_sp_defense,base_speed,level70_hp,level70_attack,level70_defense,level70_sp_attack,level70_sp_defense,level70_speed,ability_1,ability_2,hidden_ability,source,source_url,gen1_stat_level,gen1_dv_hp,gen1_dv_attack,gen1_dv_defense,gen1_dv_speed,gen1_dv_special,gen1_statexp_hp,gen1_statexp_attack,gen1_statexp_defense,gen1_statexp_speed,gen1_statexp_special,base_special,level70_special,stat_assumption,gen1_crit_threshold,gen1_crit_probability,gen1_high_crit_threshold,gen1_high_crit_probability
1,Bulbasaur,1,1,70,Grass,Poison,45,49,49,65,65,45,207,138,138,160,160,132,,,,Bulbapedia Gen I base stats; user-provided FirstGenPokemon.csv cross-check,https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_in_Generation_I,70,15,15,15,15,15,63001,63001,63001,63001,63001,65,160,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70,22,0.0859375,176,0.6875
2,Ivysaur,2,1,70,Grass,Poison,60,62,63,80,80,60,228,156,157,181,181,153,,,,Bulbapedia Gen I base stats; user-provided FirstGenPokemon.csv cross-check,https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_in_Generation_I,70,15,15,15,15,15,63001,63001,63001,63001,63001,80,181,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70,30,0.1171875,240,0.9375
3,Venusaur,3,1,70,Grass,Poison,80,82,83,100,100,80,256,184,185,209,209,181,,,,Bulbapedia Gen I base stats; user-provided FirstGenPokemon.csv cross-check,https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_in_Generation_I,70,15,15,15,15,15,63001,63001,63001,63001,63001,100,209,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70,40,0.15625,255,0.99609375
4,Charmander,4,1,70,Fire,,39,52,43,50,50,65,199,142,129,139,139,160,,,,Bulbapedia Gen I base stats; user-provided FirstGenPokemon.csv cross-check,https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_in_Generation_I,70,15,15,15,15,15,63001,63001,63001,63001,63001,50,139,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70,32,0.125,255,0.99609375
5,Charmeleon,5,1,70,Fire,,58,64,58,65,65,80,225,159,150,160,160,181,,,,Bulbapedia Gen I base stats; user-provided FirstGenPokemon.csv cross-check,https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_in_Generation_I,70,15,15,15,15,15,63001,63001,63001,63001,63001,65,160,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70,40,0.15625,255,0.99609375
6,Charizard,6,1,70,Fire,Flying,78,84,78,85,85,100,253,187,178,188,188,209,,,,Bulbapedia Gen I base stats; user-provided FirstGenPokemon.csv cross-check,https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_in_Generation_I,70,15,15,15,15,15,63001,63001,63001,63001,63001,85,188,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70,50,0.1953125,255,0.99609375
7,Squirtle,7,1,70,Water,,44,48,65,50,50,43,206,136,160,139,139,129,,,,Bulbapedia Gen I base stats; user-provided FirstGenPokemon.csv cross-check,https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_in_Generation_I,70,15,15,15,15,15,63001,63001,63001,63001,63001,50,139,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70,21,0.08203125,168,0.65625
8,Wartortle,8,1,70,Water,,59,63,80,65,65,58,227,157,181,160,160,150,,,,Bulbapedia Gen I base stats; user-provided FirstGenPokemon.csv cross-check,https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_in_Generation_I,70,15,15,15,15,15,63001,63001,63001,63001,63001,65,160,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70,29,0.11328125,232,0.90625
9,Blastoise,9,1,70,Water,,79,83,100,85,85,78,255,185,209,188,188,178,,,,Bulbapedia Gen I base stats; user-provided FirstGenPokemon.csv cross-check,https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_in_Generation_I,70,15,15,15,15,15,63001,63001,63001,63001,63001,85,188,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70,39,0.15234375,255,0.99609375
10,Caterpie,10,1,70,Bug,,45,30,35,20,20,45,207,111,118,97,97,132,,,,Bulbapedia Gen I base stats; user-provided FirstGenPokemon.csv cross-check,https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_in_Generation_I,70,15,15,15,15,15,63001,63001,63001,63001,63001,20,97,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70,22,0.0859375,176,0.6875
11,Metapod,11,1,70,Bug,,50,20,55,25,25,30,214,97,146,104,104,111,,,,Bulbapedia Gen I base stats; user-provided FirstGenPokemon.csv cross-check,https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_in_Generation_I,70,15,15,15,15,15,63001,63001,63001,63001,63001,25,104,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70,15,0.05859375,120,0.46875
12,Butterfree,12,1,70,Bug,Flying,60,45,50,80,80,70,228,132,139,181,181,167,,,,Bulbapedia Gen I base stats; user-provided FirstGenPokemon.csv cross-check,https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_in_Generation_I,70,15,15,15,15,15,63001,63001,63001,63001,63001,80,181,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70,35,0.13671875,255,0.99609375
13,Weedle,13,1,70,Bug,Poison,40,35,30,20,20,50,200,118,111,97,97,139,,,,Bulbapedia Gen I base stats; user-provided FirstGenPokemon.csv cross-check,https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_in_Generation_I,70,15,15,15,15,15,63001,63001,63001,63001,63001,20,97,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70,25,0.09765625,200,0.78125
14,Kakuna,14,1,70,Bug,Poison,45,25,50,25,25,35,207,104,139,104,104,118,,,,Bulbapedia Gen I base stats; user-provided FirstGenPokemon.csv cross-check,https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_in_Generation_I,70,15,15,15,15,15,63001,63001,63001,63001,63001,25,104,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70,17,0.06640625,136,0.53125
15,Beedrill,15,1,70,Bug,Poison,65,80,40,45,45,75,235,181,125,132,132,174,,,,Bulbapedia Gen I base stats; user-provided FirstGenPokemon.csv cross-check,https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_in_Generation_I,70,15,15,15,15,15,63001,63001,63001,63001,63001,45,132,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70,37,0.14453125,255,0.99609375
16,Pidgey,16,1,70,Normal,Flying,40,45,40,35,35,56,200,132,125,118,118,147,,,,Bulbapedia Gen I base stats; user-provided FirstGenPokemon.csv cross-check,https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_in_Generation_I,70,15,15,15,15,15,63001,63001,63001,63001,63001,35,118,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70,28,0.109375,224,0.875
17,Pidgeotto,17,1,70,Normal,Flying,63,60,55,50,50,71,232,153,146,139,139,168,,,,Bulbapedia Gen I base stats; user-provided FirstGenPokemon.csv cross-check,https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_in_Generation_I,70,15,15,15,15,15,63001,63001,63001,63001,63001,50,139,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70,35,0.13671875,255,0.99609375
