pokemon_id,name,type_1,type_2,level,level70_hp,level70_attack,level70_defense,level70_special,level70_speed,available_move_count,coverage_types,super_effective_types,weakness_types,immunity_types,stat_assumption
1,Bulbasaur,Grass,Poison,70,207,138,138,160,132,24,Grass;Normal;Poison;Psychic,Bug;Fire;Flying;Ice;Psychic,Bug;Fire;Flying;Ice;Psychic,,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
2,Ivysaur,Grass,Poison,70,228,156,157,181,153,25,Grass;Normal;Poison;Psychic,Bug;Fire;Flying;Ice;Psychic,Bug;Fire;Flying;Ice;Psychic,,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
3,Venusaur,Grass,Poison,70,256,184,185,209,181,27,Grass;Normal;Poison;Psychic,Bug;Fire;Flying;Ice;Psychic,Bug;Fire;Flying;Ice;Psychic,,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
4,Charmander,Fire,,70,199,142,129,139,160,32,Dragon;Fighting;Fire;Ground;Normal;Poison;Psychic,Ground;Rock;Water,Ground;Rock;Water,,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
5,Charmeleon,Fire,,70,225,159,150,160,181,33,Dragon;Fighting;Fire;Ground;Normal;Poison;Psychic,Ground;Rock;Water,Ground;Rock;Water,,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
6,Charizard,Fire,Flying,70,253,187,178,188,209,37,Dragon;Fighting;Fire;Ground;Normal;Poison;Psychic,Electric;Ice;Rock;Water,Electric;Ice;Rock;Water,Ground,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
7,Squirtle,Water,,70,206,136,160,139,129,32,Fighting;Ground;Ice;Normal;Poison;Psychic;Water,Electric;Grass,Electric;Grass,,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
8,Wartortle,Water,,70,227,157,181,160,150,33,Fighting;Ground;Ice;Normal;Poison;Psychic;Water,Electric;Grass,Electric;Grass,,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
9,Blastoise,Water,,70,255,185,209,188,178,37,Fighting;Ground;Ice;Normal;Poison;Psychic;Water,Electric;Grass,Electric;Grass,,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
10,Caterpie,Bug,,70,207,111,118,97,132,2,Bug;Normal,Fire;Flying;Poison;Rock,Fire;Flying;Poison;Rock,,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
11,Metapod,Bug,,70,214,97,146,104,111,1,Normal,Fire;Flying;Poison;Rock,Fire;Flying;Poison;Rock,,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
12,Butterfree,Bug,Flying,70,228,132,139,181,167,27,Grass;Normal;Poison;Psychic,Electric;Fire;Flying;Ice;Poison;Rock,Electric;Fire;Flying;Ice;Poison;Rock,Ground,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
13,Weedle,Bug,Poison,70,200,118,111,97,139,2,Bug;Poison,Bug;Fire;Flying;Psychic;Rock,Bug;Fire;Flying;Psychic;Rock,,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
14,Kakuna,Bug,Poison,70,207,104,139,104,118,1,Normal,Bug;Fire;Flying;Psychic;Rock,Bug;Fire;Flying;Psychic;Rock,,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
