attacking_type,defending_type,multiplier,generation,source,source_url,rule_set
Normal,Normal,1.0,1,Bulbapedia Generation I type chart,https://bulbapedia.bulbagarden.net/wiki/Type_chart/GenI,Generation I
Normal,Fire,1.0,1,Bulbapedia Generation I type chart,https://bulbapedia.bulbagarden.net/wiki/Type_chart/GenI,Generation I
Normal,Water,1.0,1,Bulbapedia Generation I type chart,https://bulbapedia.bulbagarden.net/wiki/Type_chart/GenI,Generation I
Normal,Electric,1.0,1,Bulbapedia Generation I type chart,https://bulbapedia.bulbagarden.net/wiki/Type_chart/GenI,Generation I
Normal,Grass,1.0,1,Bulbapedia Generation I type chart,https://bulbapedia.bulbagarden.net/wiki/Type_chart/GenI,Generation I
Normal,Ice,1.0,1,Bulbapedia Generation I type chart,https://bulbapedia.bulbagarden.net/wiki/Type_chart/GenI,Generation I
Normal,Fighting,1.0,1,Bulbapedia Generation I type chart,https://bulbapedia.bulbagarden.net/wiki/Type_chart/GenI,Generation I
Normal,Poison,1.0,1,Bulbapedia Generation I type chart,https://bulbapedia.bulbagarden.net/wiki/Type_chart/GenI,Generation I
Normal,Ground,1.0,1,Bulbapedia Generation I type chart,https://bulbapedia.bulbagarden.net/wiki/Type_chart/GenI,Generation I
Normal,Flying,1.0,1,Bulbapedia Generation I type chart,https://bulbapedia.bulbagarden.net/wiki/Type_chart/GenI,Generation I
Normal,Psychic,1.0,1,Bulbapedia Generation I type chart,https://bulbapedia.bulbagarden.net/wiki/Type_chart/GenI,Generation I
Normal,Bug,1.0,1,Bulbapedia Generation I type chart,https://bulbapedia.bulbagarden.net/wiki/Type_chart/GenI,Generation I
Normal,Rock,0.5,1,Bulbapedia Generation I type chart,https://bulbapedia.bulbagarden.net/wiki/Type_chart/GenI,Generation I
Normal,Ghost,0.0,1,Bulbapedia Generation I type chart,https://bulbapedia.bulbagarden.net/wiki/Type_chart/GenI,Generation I
Normal,Dragon,1.0,1,Bulbapedia Generation I type chart,https://bulbapedia.bulbagarden.net/wiki/Type_chart/GenI,Generation I
Fire,Normal,1.0,1,Bulbapedia Generation I type chart,https://bulbapedia.bulbagarden.net/wiki/Type_chart/GenI,Generation I
Fire,Fire,0.5,1,Bulbapedia Generation I type chart,https://bulbapedia.bulbagarden.net/wiki/Type_chart/GenI,Generation I
Fire,Water,0.5,1,Bulbapedia Generation I type chart,https://bulbapedia.bulbagarden.net/wiki/Type_chart/GenI,Generation I
Fire,Electric,1.0,1,Bulbapedia Generation I type chart,https://bulbapedia.bulbagarden.net/wiki/Type_chart/GenI,Generation I
Fire,Grass,2.0,1,Bulbapedia Generation I type chart,https://bulbapedia.bulbagarden.net/wiki/Type_chart/GenI,Generation I
Fire,Ice,2.0,1,Bulbapedia Generation I type chart,https://bulbapedia.bulbagarden.net/wiki/Type_chart/GenI,Generation I
Fire,Fighting,1.0,1,Bulbapedia Generation I type chart,https://bulbapedia.bulbagarden.net/wiki/Type_chart/GenI,Generation I
Fire,Poison,1.0,1,Bulbapedia Generation I type chart,https://bulbapedia.bulbagarden.net/wiki/Type_chart/GenI,Generation I
Fire,Ground,1.0,1,Bulbapedia Generation I type chart,https://bulbapedia.bulbagarden.net/wiki/Type_chart/GenI,Generation I
Fire,Flying,1.0,1,Bulbapedia Generation I type chart,https://bulbapedia.bulbagarden.net/wiki/Type_chart/GenI,Generation I
Fire,Psychic,1.0,1,Bulbapedia Generation I type chart,https://bulbapedia.bulbagarden.net/wiki/Type_chart/GenI,Generation I
Fire,Bug,2.0,1,Bulbapedia Generation I type chart,https://bulbapedia.bulbagarden.net/wiki/Type_chart/GenI,Generation I
Fire,Rock,0.5,1,Bulbapedia Generation I type chart,https://bulbapedia.bulbagarden.net/wiki/Type_chart/GenI,Generation I
Fire,Ghost,1.0,1,Bulbapedia Generation I type chart,https://bulbapedia.bulbagarden.net/wiki/Type_chart/GenI,Generation I
Fire,Dragon,0.5,1,Bulbapedia Generation I type chart,https://bulbapedia.bulbagarden.net/wiki/Type_chart/GenI,Generation I
Water,Normal,1.0,1,Bulbapedia Generation I type chart,https://bulbapedia.bulbagarden.net/wiki/Type_chart/GenI,Generation I
Water,Fire,2.0,1,Bulbapedia Generation I type chart,https://bulbapedia.bulbagarden.net/wiki/Type_chart/GenI,Generation I
Water,Water,0.5,1,Bulbapedia Generation I type chart,https://bulbapedia.bulbagarden.net/wiki/Type_chart/GenI,Generation I
Water,Electric,1.0,1,Bulbapedia Generation I type chart,https://bulbapedia.bulbagarden.net/wiki/Type_chart/GenI,Generation I
Water,Grass,0.5,1,Bulbapedia Generation I type chart,https://bulbapedia.bulbagarden.net/wiki/Type_chart/GenI,Generation I
Water,Ice,1.0,1,Bulbapedia Generation I type chart,https://bulbapedia.bulbagarden.net/wiki/Type_chart/GenI,Generation I
Water,Fighting,1.0,1,Bulbapedia Generation I type chart,https://bulbapedia.bulbagarden.net/wiki/Type_chart/GenI,Generation I
Water,Poison,1.0,1,Bulbapedia Generation I type chart,https://bulbapedia.bulbagarden.net/wiki/Type_chart/GenI,Generation I
Water,Ground,2.0,1,Bulbapedia Generation I type chart,https://bulbapedia.bulbagarden.net/wiki/Type_chart/GenI,Generation I
Water,Flying,1.0,1,Bulbapedia Generation I type chart,https://bulbapedia.bulbagarden.net/wiki/Type_chart/GenI,Generation I
Water,Psychic,1.0,1,Bulbapedia Generation I type chart,https://bulbapedia.bulbagarden.net/wiki/Type_chart/GenI,Generation I
Water,Bug,1.0,1,Bulbapedia Generation I type chart,https://bulbapedia.bulbagarden.net/wiki/Type_chart/GenI,Generation I
Water,Rock,2.0,1,Bulbapedia Generation I type chart,https://bulbapedia.bulbagarden.net/wiki/Type_chart/GenI,Generation I
Water,Ghost,1.0,1,Bulbapedia Generation I type chart,https://bulbapedia.bulbagarden.net/wiki/Type_chart/GenI,Generation I
Water,Dragon,0.5,1,Bulbapedia Generation I type chart,https://bulbapedia.bulbagarden.net/wiki/Type_chart/GenI,Generation I
Electric,Normal,1.0,1,Bulbapedia Generation I type chart,https://bulbapedia.bulbagarden.net/wiki/Type_chart/GenI,Generation I
Electric,Fire,1.0,1,Bulbapedia Generation I type chart,https://bulbapedia.bulbagarden.net/wiki/Type_chart/GenI,Generation I
Electric,Water,2.0,1,Bulbapedia Generation I type chart,https://bulbapedia.bulbagarden.net/wiki/Type_chart/GenI,Generation I
Electric,Electric,0.5,1,Bulbapedia Generation I type chart,https://bulbapedia.bulbagarden.net/wiki/Type_chart/GenI,Generation I
Electric,Grass,0.5,1,Bulbapedia Generation I type chart,https://bulbapedia.bulbagarden.net/wiki/Type_chart/GenI,Generation I
Electric,Ice,1.0,1,Bulbapedia Generation I type chart,https://bulbapedia.bulbagarden.net/wiki/Type_chart/GenI,Generation I
Electric,Fighting,1.0,1,Bulbapedia Generation I type chart,https://bulbapedia.bulbagarden.net/wiki/Type_chart/GenI,Generation I
Electric,Poison,1.0,1,Bulbapedia Generation I type chart,https://bulbapedia.bulbagarden.net/wiki/Type_chart/GenI,Generation I
Electric,Ground,0.0,1,Bulbapedia Generation I type chart,https://bulbapedia.bulbagarden.net/wiki/Type_chart/GenI,Generation I
Electric,Flying,2.0,1,Bulbapedia Generation I type chart,https://bulbapedia.bulbagarden.net/wiki/Type_chart/GenI,Generation I
Electric,Psychic,1.0,1,Bulbapedia Generation I type chart,https://bulbapedia.bulbagarden.net/wiki/Type_chart/GenI,Generation I
Electric,Bug,1.0,1,Bulbapedia Generation I type chart,https://bulbapedia.bulbagarden.net/wiki/Type_chart/GenI,Generation I
Electric,Rock,1.0,1,Bulbapedia Generation I type chart,https://bulbapedia.bulbagarden.net/wiki/Type_chart/GenI,Generation I
Electric,Ghost,1.0,1,Bulbapedia Generation I type chart,https://bulbapedia.bulbagarden.net/wiki/Type_chart/GenI,Generation I
Electric,Dragon,0.5,1,Bulbapedia Generation I type chart,https://bulbapedia.bulbagarden.net/wiki/Type_chart/GenI,Generation I
Grass,Normal,1.0,1,Bulbapedia Generation I type chart,https://bulbapedia.bulbagarden.net/wiki/Type_chart/GenI,Generation I
Grass,Fire,0.5,1,Bulbapedia Generation I type chart,https://bulbapedia.bulbagarden.net/wiki/Type_chart/GenI,Generation I
Grass,Water,2.0,1,Bulbapedia Generation I type chart,https://bulbapedia.bulbagarden.net/wiki/Type_chart/GenI,Generation I
Grass,Electric,1.0,1,Bulbapedia Generation I type chart,https://bulbapedia.bulbagarden.net/wiki/Type_chart/GenI,Generation I
Grass,Grass,0.5,1,Bulbapedia Generation I type chart,https://bulbapedia.bulbagarden.net/wiki/Type_chart/GenI,Generation I
Grass,Ice,1.0,1,Bulbapedia Generation I type chart,https://bulbapedia.bulbagarden.net/wiki/Type_chart/GenI,Generation I
