seed,gyms_cleared,cleared_all,total_time_s,error
1,8,True,0.0213,
2,8,True,0.0216,
3,8,True,0.0218,
4,8,True,0.0228,
5,8,True,0.0231,
6,8,True,0.0216,
7,5,False,0.0201,
8,8,True,0.0227,
9,8,True,0.0232,
10,8,True,0.0221,
11,8,True,0.0214,
12,8,True,0.0211,
13,5,False,0.0271,
14,8,True,0.0299,
15,8,True,0.0239,
16,8,True,0.0216,
17,8,True,0.0201,
18,8,True,0.0211,
19,8,True,0.0209,
20,8,True,0.0209,
21,8,True,0.021,
22,8,True,0.021,
23,8,True,0.0207,
24,8,True,0.0207,
25,8,True,0.0213,
26,8,True,0.0213,
27,8,True,0.0215,
28,8,True,0.0208,
29,8,True,0.0224,
30,8,True,0.0211,
31,8,True,0.021,
32,8,True,0.0207,
33,8,True,0.0217,
34,8,True,0.0213,
35,5,False,0.0206,
36,8,True,0.0215,
37,8,True,0.021,
38,5,False,0.0204,
39,8,True,0.0211,
40,8,True,0.0203,
41,8,True,0.0207,
42,8,True,0.0221,
43,8,True,0.0207,
44,8,True,0.0201,
45,8,True,0.0226,
46,8,True,0.0219,
47,8,True,0.0208,
48,8,True,0.0207,
49,8,True,0.0222,
50,8,True,0.0207,
51,8,True,0.0212,
52,8,True,0.022,
53,8,True,0.0212,
54,8,True,0.0207,
55,8,True,0.0208,
56,8,True,0.0213,
57,8,True,0.0204,
58,8,True,0.0211,
59,8,True,0.0223,
60,8,True,0.0211,
61,8,True,0.0214,
62,8,True,0.0211,
63,8,True,0.0213,
64,8,True,0.021,
65,8,True,0.0215,
66,8,True,0.0214,
67,8,True,0.0213,
68,8,True,0.0206,
69,8,True,0.0212,
70,8,True,0.0209,
71,8,True,0.0213,
72,8,True,0.0214,
73,8,True,0.021,
74,8,True,0.0221,
75,8,True,0.0214,
76,8,True,0.0208,
77,8,True,0.0213,
78,8,True,0.0214,
79,8,True,0.0209,
80,8,True,0.0212,
81,8,True,0.021,
82,8,True,0.0214,
83,8,True,0.0212,
84,8,True,0.0218,
85,8,True,0.021,
86,8,True,0.0209,
87,8,True,0.0206,
88,8,True,0.0209,
89,8,True,0.0211,
90,8,True,0.0205,
91,8,True,0.0214,
92,8,True,0.0217,
93,8,True,0.0204,
94,8,True,0.021,
95,8,True,0.0211,
96,8,True,0.0207,
97,8,True,0.0211,
98,8,True,0.0209,
99,8,True,0.02,
100,8,True,0.0207,
101,8,True,0.0216,
102,2,False,0.0179,
103,8,True,0.0205,
104,8,True,0.0207,
105,8,True,0.0217,
106,8,True,0.0201,
107,8,True,0.0207,
108,8,True,0.0201,
109,8,True,0.0206,
110,8,True,0.022,
111,8,True,0.0213,
112,8,True,0.0216,
113,8,True,0.0209,
114,8,True,0.0219,
115,5,False,0.0196,
116,8,True,0.0208,
117,5,False,0.0192,
118,8,True,0.0209,
119,8,True,0.0218,
120,8,True,0.0223,
121,8,True,0.0219,
122,8,True,0.0212,
123,8,True,0.0213,
124,5,False,0.0206,
125,8,True,0.0209,
126,8,True,0.0212,
127,8,True,0.0227,
128,8,True,0.0343,
129,8,True,0.0264,
130,8,True,0.0261,
131,8,True,0.0216,
132,8,True,0.0226,
133,8,True,0.0206,
134,8,True,0.0214,
135,8,True,0.0211,
136,8,True,0.0213,
137,8,True,0.0217,
138,8,True,0.0212,
139,8,True,0.0199,
140,8,True,0.0216,
141,8,True,0.0208,
142,8,True,0.022,
143,8,True,0.0211,
144,8,True,0.0214,
145,8,True,0.0212,
146,8,True,0.0216,
147,8,True,0.0218,
148,8,True,0.0212,
149,8,True,0.0216,
150,8,True,0.02,
151,8,True,0.0215,
152,8,True,0.0214,
153,8,True,0.0217,
154,8,True,0.0205,
155,8,True,0.0206,
156,8,True,0.0215,
157,8,True,0.0207,
158,8,True,0.0213,
159,8,True,0.021,
160,8,True,0.021,
161,8,True,0.0221,
162,8,True,0.0209,
163,8,True,0.0207,
164,8,True,0.0207,
165,8,True,0.0229,
166,8,True,0.0222,
167,8,True,0.0225,
168,8,True,0.0211,
169,8,True,0.0209,
170,8,True,0.0214,
171,8,True,0.0229,
172,8,True,0.0233,
173,8,True,0.0223,
174,8,True,0.0213,
175,8,True,0.0219,
176,8,True,0.0212,
177,8,True,0.021,
178,8,True,0.0212,
179,8,True,0.0208,
180,8,True,0.0213,
181,8,True,0.0208,
182,8,True,0.0218,
183,8,True,0.0206,
184,5,False,0.0193,
185,8,True,0.0219,
186,8,True,0.0212,
187,8,True,0.0212,
188,8,True,0.0218,
189,8,True,0.0211,
190,8,True,0.021,
191,8,True,0.0201,
192,8,True,0.0211,
193,8,True,0.0226,
194,8,True,0.0209,
195,8,True,0.0206,
196,8,True,0.0219,
197,8,True,0.0214,
198,8,True,0.0204,
199,8,True,0.0215,
200,8,True,0.0215,
